epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,1.529154,0.3595,0.797735,0.7002,0.360571
1,0.524724,0.8041,0.289753,0.9668,0.793060
2,0.187175,0.9441,0.089677,0.9966,1.338652
3,0.045562,0.9951,0.022869,0.9990,0.425514
4,0.016722,0.9994,0.011668,0.9995,0.118847
5,0.014031,0.9989,0.007740,1.0000,0.370514
6,0.006290,1.0000,0.005111,1.0000,0.061255
7,0.004593,0.9999,0.035337,0.9927,0.060057
8,0.004454,0.9998,0.002999,1.0000,0.089404
9,0.002758,1.0000,0.002519,1.0000,0.018885
10,0.002192,1.0000,0.002004,1.0000,0.002214
11,0.001824,1.0000,0.001687,1.0000,0.001819
12,0.001548,1.0000,0.001444,1.0000,0.002063
13,0.001326,1.0000,0.001240,1.0000,0.001164
14,0.001149,1.0000,0.001079,1.0000,0.001778
15,0.001004,1.0000,0.000945,1.0000,0.000958
16,0.000881,1.0000,0.000833,1.0000,0.000824
17,0.000781,1.0000,0.000744,1.0000,0.001469
18,0.000694,1.0000,0.000659,1.0000,0.000714
19,0.000618,1.0000,0.000589,1.0000,0.000614
20,0.000556,1.0000,0.000531,1.0000,0.000954
21,0.000499,1.0000,0.000477,1.0000,0.000509
22,0.000451,1.0000,0.000431,1.0000,0.000520
23,0.000409,1.0000,0.000391,1.0000,0.000606
24,0.000371,1.0000,0.000356,1.0000,0.000548
25,0.000337,1.0000,0.000324,1.0000,0.000396
26,0.000308,1.0000,0.000297,1.0000,0.000534
27,0.000282,1.0000,0.000271,1.0000,0.000343
28,0.000258,1.0000,0.000249,1.0000,0.000343
29,0.000237,1.0000,0.000228,1.0000,0.000360
