epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,2.080292,0.1199,2.079718,0.1230,0.034467
1,2.079854,0.1197,2.080355,0.1182,0.029616
2,2.079654,0.1279,2.080322,0.1182,0.027874
3,2.079230,0.1304,2.080081,0.1235,0.024464
4,2.079145,0.1280,2.080777,0.1138,0.023292
5,2.079104,0.1295,2.080415,0.1143,0.023123
6,2.078766,0.1305,2.081298,0.1289,0.021365
7,2.078836,0.1265,2.081253,0.1191,0.027148
8,2.078439,0.1315,2.081238,0.1113,0.029970
9,2.078287,0.1333,2.080940,0.1323,0.025759
10,2.077914,0.1306,2.082458,0.1187,0.029406
11,2.077216,0.1364,2.081854,0.1323,0.038501
12,2.077063,0.1329,2.081775,0.1289,0.040897
13,2.076383,0.1360,2.083483,0.1270,0.044805
14,2.075007,0.1420,2.086164,0.1289,0.043773
15,2.074164,0.1451,2.084646,0.1299,0.057560
16,2.072954,0.1472,2.084604,0.1372,0.060119
17,2.071157,0.1470,2.086102,0.1299,0.072387
18,2.069197,0.1551,2.093700,0.1235,0.075236
19,2.066402,0.1534,2.095440,0.1255,0.093582
20,2.062784,0.1599,2.099069,0.1294,0.106012
21,2.058280,0.1621,2.100024,0.1260,0.124910
22,2.051233,0.1670,2.108188,0.1187,0.148668
23,2.044382,0.1771,2.117944,0.1255,0.172556
24,2.036087,0.1876,2.122394,0.1309,0.200068
25,2.024111,0.1969,2.131522,0.1191,0.236310
26,2.010972,0.2082,2.119699,0.1304,0.293526
27,1.182663,0.4960,0.432587,0.8379,2.203349
28,0.156609,0.9811,0.046969,0.9995,1.960547
29,0.027993,0.9999,0.017702,1.0000,0.303101
