epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,2.079571,0.1205,2.080346,0.1216,0.007938
1,2.078715,0.1338,2.081526,0.1177,0.010807
2,2.078150,0.1333,2.080844,0.1191,0.015449
3,2.077895,0.1336,2.082385,0.1128,0.014263
4,2.077884,0.1299,2.084180,0.1182,0.014047
5,2.077671,0.1310,2.083785,0.1167,0.014707
6,2.077173,0.1301,2.083362,0.1147,0.018682
7,2.077323,0.1350,2.084970,0.1206,0.014021
8,2.077108,0.1308,2.084223,0.1206,0.017825
9,2.076686,0.1363,2.084274,0.1211,0.018083
10,2.076939,0.1348,2.084418,0.1250,0.019281
11,2.076587,0.1306,2.084754,0.1230,0.019520
12,2.076223,0.1301,2.084477,0.1230,0.022677
13,2.076159,0.1345,2.083756,0.1230,0.024856
14,2.075507,0.1346,2.083420,0.1270,0.026084
15,2.075166,0.1340,2.083710,0.1177,0.029231
16,2.073957,0.1379,2.083851,0.1235,0.036704
17,2.073987,0.1375,2.083781,0.1133,0.036872
18,2.072699,0.1444,2.085817,0.1157,0.039004
19,2.071790,0.1436,2.085088,0.1147,0.044750
20,2.069630,0.1509,2.090148,0.1221,0.052965
21,2.068613,0.1519,2.088321,0.1152,0.065509
22,2.066876,0.1517,2.093683,0.1157,0.068784
23,2.064517,0.1532,2.090371,0.1196,0.077480
24,2.060262,0.1625,2.093378,0.1167,0.086024
25,2.055294,0.1663,2.100913,0.1157,0.111951
26,2.050670,0.1725,2.102480,0.1182,0.121591
27,2.045942,0.1740,2.096322,0.1245,0.145587
28,2.039119,0.1825,2.111193,0.1250,0.162776
29,2.030497,0.1901,2.113031,0.1279,0.188543
