epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,2.096315,0.1280,2.094691,0.1313,0.635335
1,2.082719,0.1371,2.092384,0.1260,0.544755
2,2.081044,0.1407,2.092755,0.1260,0.517185
3,2.075128,0.1465,2.089914,0.1343,0.470010
4,2.069823,0.1521,2.091656,0.1362,0.471526
5,2.064542,0.1601,2.089165,0.1313,0.488213
6,2.059905,0.1628,2.089105,0.1318,0.512922
7,2.051489,0.1762,2.098471,0.1289,0.548696
8,2.047737,0.1830,2.093350,0.1333,0.608130
9,2.039609,0.1939,2.094510,0.1357,0.648659
10,2.028348,0.2064,2.104530,0.1367,0.716844
11,2.020063,0.2110,2.106126,0.1274,0.803918
12,2.008804,0.2136,2.113701,0.1274,0.891806
13,1.993695,0.2263,2.118016,0.1382,0.995622
14,1.981339,0.2303,2.139647,0.1289,1.137141
15,1.968051,0.2432,2.135396,0.1426,1.267386
16,1.949489,0.2556,2.152032,0.1255,1.381798
17,1.935624,0.2602,2.157789,0.1294,1.525074
18,1.916506,0.2687,2.172499,0.1221,1.682129
19,1.901491,0.2800,2.202969,0.1313,1.845211
20,1.881212,0.2883,2.205628,0.1270,2.050212
21,1.861816,0.2999,2.220901,0.1260,2.147631
22,1.841948,0.3104,2.232050,0.1284,2.329127
23,1.817776,0.3234,2.249063,0.1172,2.527164
24,1.800883,0.3231,2.257222,0.1250,2.703477
25,1.773997,0.3397,2.293546,0.1255,2.879716
26,1.751602,0.3513,2.302853,0.1216,3.095031
27,1.734437,0.3559,2.332629,0.1348,3.312301
28,1.708834,0.3769,2.343805,0.1309,3.454947
29,1.694525,0.3821,2.360304,0.1216,3.703129
